id,repo,workstream,task,status,priority,verification,notes
GO-012,go-observability,examples,"Add worker integration example",done,medium,"SMK-GO-011","Completed in examples/worker/main.go with startup, job span lifecycle, contextual logging, and traced SQL work inside a job"
GO-013,go-observability,testing,"Add unit tests for config, logger, middleware, GORM adapter, and worker helpers",done,high,"SMK-GO-012","Completed with explicit unit coverage across telemetry, logger, middleware, GORM, raw SQL, worker helpers, and a published testing matrix"
GO-014,go-observability,testing,"Run strict quality gate for package changes",done,high,"SMK-GO-005","Completed with full package verification: gofmt, go vet ./..., go test ./..., go test -race ./..., and golangci-lint run"
INF-001,observability-infra,platform,"Create central Docker Compose stack for collector, Prometheus, Loki, Tempo, and Grafana",done,high,"SMK-INF-007","Completed in deploy/central/docker-compose.yml with single-node central topology, persistent data volumes, exposed service ports, and config mount contracts for later infra tasks"
INF-002,observability-infra,collector,"Create local collector configuration for OTLP ingest and Docker json-file log ingestion",done,high,"SMK-INF-008","Completed in collector/local/config.yaml with OTLP receivers, Docker filelog ingestion, resource enrichment, memory limiting, batching, and OTLP forwarding to the central collector"
INF-003,observability-infra,collector,"Create central collector configuration for routing logs, traces, and metrics",done,high,"SMK-INF-009","Completed in collector/central/config.yaml with OTLP ingest, Loki log export, Tempo trace export, and Prometheus scrape endpoint exposure"
INF-004,observability-infra,prometheus,"Create Prometheus scrape config and baseline alert rules",done,high,"SMK-INF-010","Completed in prometheus/prometheus.yml and prometheus/alert-rules.yml with central collector scrape config, Prometheus self-scrape, and a narrow set of critical baseline alerts"
INF-005,observability-infra,grafana,"Create Grafana datasource provisioning for Prometheus, Loki, and Tempo",done,high,"SMK-INF-011","Completed in grafana/provisioning/datasources/datasources.yml with Prometheus, Loki, and Tempo datasources plus trace-to-log correlation settings"
INF-006,observability-infra,grafana,"Create Service Overview dashboard JSON",done,high,"SMK-INF-012","Completed in grafana/dashboards/service-overview.json with service/environment/instance/route filters and golden-signal panels aligned to the current HTTP metric contract"
INF-007,observability-infra,grafana,"Create Worker Overview dashboard JSON",done,high,"SMK-INF-013","Completed in grafana/dashboards/worker-overview.json with worker/environment/instance/job filters, current worker metric names, Loki-backed error-log volume, and an explicit note for deferred active-job and retry panels"
INF-008,observability-infra,grafana,"Create Observability Platform Health dashboard JSON",done,high,"SMK-INF-014","Completed in grafana/dashboards/platform-health.json with collector export health, queue depth, dropped telemetry, scrape target health, and explicit deferred notes for node-level and backend-internal panels"
INF-009,observability-infra,grafana,"Create Logs and Traces Drilldown dashboard JSON",todo,medium,"SMK-INF-004","Prefer Grafana links and saved views where direct panels are limited"
INF-010,observability-infra,docs,"Document generic Go Gin application integration contract for the platform",todo,medium,"SMK-DOC-001","Cover OTLP endpoint expectations, stdout logging, env vars, local collector contract, and Docker json-file dependency"
INF-011,observability-infra,ops,"Create deployment and validation runbook",todo,medium,"SMK-INF-005","Include smoke procedures for logs, traces, metrics, dashboards, alerts, and generic app integration"
INF-012,observability-infra,ops,"Validate central stack end to end in non-production environment",todo,high,"SMK-INF-005","Record telemetry ingestion and dashboard verification results"
ROL-001,cross-repo,pilot,"Integrate one Go Gin API service with go-observability and local collector",todo,high,"SMK-E2E-001","Verify request traces, logs, GORM traces where used, and metrics in Grafana"
ROL-002,cross-repo,pilot,"Integrate one Go worker service with go-observability and local collector",todo,high,"SMK-E2E-002","Verify job traces, logs, DB traces where used, and metrics in Grafana"
ROL-003,cross-repo,pilot,"Validate trace-to-log correlation for API and worker flows",todo,high,"SMK-E2E-003","Use trace_id pivot in Grafana"
ROL-004,cross-repo,pilot,"Validate critical alerts fire correctly in non-production",todo,medium,"SMK-INF-006","Test 5xx, latency, collector failure, and disk pressure scenarios as feasible"
ROL-005,cross-repo,release,"Prepare generic rollout checklist for additional Go services",todo,medium,"SMK-DOC-001","Convert pilot learnings into repeatable adoption steps for Go Gin applications"
SMK-GO-000,go-observability,smoke,"Smoke module scaffold sanity",done,high,"gofmt -w ./telemetry/doc.go ./logger/doc.go ./middleware/doc.go ./database/doc.go ./httpclient/doc.go ./worker/doc.go && go vet ./... && go test ./... && go test -race ./... && ~/go/bin/golangci-lint run","Pass criteria met: module resolves, baseline packages compile, race test passes, and lint is clean"
SMK-GO-001,go-observability,smoke,"Smoke config defaults and env contract",done,high,"go test ./... && go vet ./... && go test -race ./... && ~/go/bin/golangci-lint run","Pass criteria met: config defaults, env overrides, invalid fallback, and environment precedence verified under full quality gate"
SMK-GO-002,go-observability,smoke,"Smoke outbound HTTP instrumentation",done,high,"go test ./httpclient -run TestHTTPClient && go vet ./... && go test ./... && go test -race ./... && ~/go/bin/golangci-lint run","Pass criteria met: outbound child spans recorded, traceparent propagation preserved, provided base transports remain usable, and the full Go quality gate passed"
SMK-GO-003,go-observability,smoke,"Smoke generic SQL or raw PostgreSQL instrumentation",done,high,"go test ./database -run TestOpenInstrumentedSQL && go vet ./... && go test ./... && go test -race ./... && ~/go/bin/golangci-lint run","Pass criteria met: generic SQL query and transaction spans are created with context propagation, instrumented SQL open validates driver input, DB stats metrics registration succeeds, and the full Go quality gate passed"
SMK-GO-004,go-observability,smoke,"Smoke worker instrumentation",done,high,"go test ./worker && go vet ./... && go test ./... && go test -race ./... && ~/go/bin/golangci-lint run","Pass criteria met: root job spans are created when no parent exists, child job spans are created when parent context exists, worker metrics are emitted, and the full Go quality gate passed"
SMK-GO-005,go-observability,smoke,"Strict Go quality gate",done,high,"gofmt && go vet ./... && go test ./... && go test -race ./... && golangci-lint run","Pass criteria met: all commands succeeded with zero failures across the full module, including examples"
SMK-GO-006,go-observability,smoke,"Smoke init and shutdown lifecycle",done,high,"go test ./... && go vet ./... && go test -race ./... && ~/go/bin/golangci-lint run","Pass criteria met: providers initialize, globals are set, invalid config fails fast, MustInit panics on invalid config, and shutdown returns cleanly"
SMK-GO-007,go-observability,smoke,"Smoke Zap-compatible contextual logging",done,high,"go test ./logger -run 'TestNewAddsServiceFields|TestWithContext' && go vet ./... && go test ./... && go test -race ./... && ~/go/bin/golangci-lint run","Pass criteria met: service metadata is always present, trace_id and span_id are injected when span context is valid, no trace fields appear without span context, and the full Go quality gate passed"
SMK-GO-008,go-observability,smoke,"Smoke Gin inbound request instrumentation",done,high,"go test ./middleware && go vet ./... && go test ./... && go test -race ./... && ~/go/bin/golangci-lint run","Pass criteria met: inbound server span created, remote parent extracted, request context preserved for handlers, route-template metrics emitted, active requests tracked, and the full Go quality gate passed"
SMK-GO-009,go-observability,smoke,"Smoke GORM instrumentation for queries and transactions",done,high,"go test ./database && go vet ./... && go test ./... && go test -race ./... && ~/go/bin/golangci-lint run","Pass criteria met: GORM query spans and transaction wrapper spans are created with context propagation, operation spans appear in the parent trace, and the full Go quality gate passed"
SMK-GO-010,go-observability,smoke,"Smoke API example compilation",done,medium,"go test ./examples/api ./...","Pass criteria met: the generic API example compiles against the current package surface and the full module test pass remains green"
SMK-GO-011,go-observability,smoke,"Smoke worker example compilation",done,medium,"go test ./examples/worker ./...","Pass criteria met: the generic worker example compiles against the current package surface and the full module test pass remains green"
SMK-GO-012,go-observability,smoke,"Smoke unit test inventory alignment",done,medium,"manual review: docs/testing-matrix.md vs current test files vs checklist rows","Pass criteria met: unit coverage for telemetry, logger, middleware, GORM, raw SQL, and worker helpers is explicitly documented and aligned with the checklist smoke rows"
SMK-INF-001,observability-infra,smoke,"Smoke local collector ingest path",todo,high,"otelcol --config collector/local/*.yaml --dry-run; smoke-compose up local collector","Pass criteria: OTLP receive and Docker json-file ingest both operational"
SMK-INF-002,observability-infra,smoke,"Smoke central collector routing",todo,high,"otelcol --config collector/central/*.yaml --dry-run; send sample OTLP telemetry","Pass criteria: logs to Loki, traces to Tempo, metrics exposed for Prometheus scrape"
SMK-INF-003,observability-infra,smoke,"Smoke Prometheus scrape and rules",todo,high,"promtool check config prometheus/*.yml; promtool test rules prometheus/*.yml","Pass criteria: config and rule tests pass; scrape target healthy"
SMK-INF-004,observability-infra,smoke,"Smoke Grafana datasources and dashboards",todo,high,"Grafana API datasource health check + dashboard import test","Pass criteria: Prometheus, Loki, Tempo datasources healthy and 4 dashboards render data"
SMK-INF-005,observability-infra,smoke,"Smoke end-to-end infra telemetry path",todo,high,"runbook-driven smoke in non-prod","Pass criteria: sample app traffic appears in Grafana logs/traces/metrics within expected window"
SMK-INF-006,observability-infra,smoke,"Smoke critical alert pipeline",todo,medium,"simulate error rate/latency/collector failure/disk pressure","Pass criteria: each critical alert fires and recovery state clears correctly"
SMK-INF-007,observability-infra,smoke,"Smoke central compose topology definition",done,medium,"manual review: deploy/central/docker-compose.yml plus deploy/central/README.md and .env.example","Pass criteria met: central compose defines collector, Prometheus, Loki, Tempo, and Grafana with persistent volumes, expected ports, restart policy, and explicit config mount contracts for later tasks"
SMK-INF-008,observability-infra,smoke,"Smoke local collector config definition",done,medium,"manual review: collector/local/config.yaml plus collector/local/README.md and .env.example","Pass criteria met: local collector config defines OTLP ingest, Docker json-file log ingestion, resource enrichment, memory limiting, batching, and OTLP forwarding contract without conflating it with deployment-wrapper validation"
SMK-INF-009,observability-infra,smoke,"Smoke central collector config definition",done,medium,"manual review: collector/central/config.yaml plus collector/central/README.md and .env.example","Pass criteria met: central collector config defines OTLP ingest, Loki log export, Tempo trace export, Prometheus scrape exposure, batching, and memory limiting without conflating it with backend runtime validation"
SMK-INF-010,observability-infra,smoke,"Smoke Prometheus config and rule definition",done,medium,"manual review: prometheus/prometheus.yml plus prometheus/alert-rules.yml and prometheus/README.md","Pass criteria met: Prometheus scrape config targets the central collector, rule files are wired into the stack, and the baseline alert set stays intentionally narrow and aligned with implemented metric names"
SMK-INF-011,observability-infra,smoke,"Smoke Grafana datasource definition",done,medium,"manual review: grafana/provisioning/datasources/datasources.yml plus grafana/provisioning/README.md","Pass criteria met: Grafana datasource provisioning defines Prometheus, Loki, and Tempo, Prometheus is default, and Loki/Tempo correlation settings are encoded in provisioned config rather than relying on manual UI setup"
SMK-INF-012,observability-infra,smoke,"Smoke Service Overview dashboard definition",done,medium,"manual review: grafana/dashboards/service-overview.json plus grafana/dashboards/README.md","Pass criteria met: Service Overview dashboard JSON defines the required variable filters and golden-signal panels and stays aligned with the current service metric names and labels"
SMK-INF-013,observability-infra,smoke,"Smoke Worker Overview dashboard definition",done,medium,"manual review: grafana/dashboards/worker-overview.json plus grafana/dashboards/README.md","Pass criteria met: Worker Overview dashboard JSON defines the required worker filters and panels, uses the current worker metric names and labels, includes Loki error-log volume, and documents deferred phase-two worker panels instead of fabricating unsupported metrics"
SMK-INF-014,observability-infra,smoke,"Smoke Observability Platform Health dashboard definition",done,medium,"manual review: grafana/dashboards/platform-health.json plus grafana/dashboards/README.md","Pass criteria met: Platform Health dashboard JSON defines collector and Prometheus health panels using the current collector/self-scrape metric families, includes queue depth and dropped telemetry visibility, and explicitly documents deferred host-metric and backend-internal panels"
SMK-E2E-001,cross-repo,smoke,"Smoke API integration flow",todo,high,"trigger API request and validate Tempo/Loki/Prometheus + Grafana correlation","Pass criteria: one request shows trace, logs with trace_id, and request metrics"
SMK-E2E-002,cross-repo,smoke,"Smoke worker integration flow",todo,high,"trigger one worker job and validate Tempo/Loki/Prometheus + Grafana correlation","Pass criteria: one job shows root span, DB spans where used, logs with identifiers, and worker metrics"
SMK-E2E-003,cross-repo,smoke,"Smoke trace-to-log correlation",todo,high,"Grafana pivot from trace_id to Loki query","Pass criteria: trace->logs pivot resolves matching records for API and worker samples"
SMK-DOC-001,cross-repo,smoke,"Smoke docs/checklist consistency",done,medium,"manual review: checklist vs gin guide vs app integration contract vs dashboard spec","Pass criteria met: acceptance criteria, env vars, smoke gates, exported integration surface, and status rules are aligned across the package guide, platform contract, dashboard spec, and checklist"
