id,repo,workstream,task,status,priority,verification,notes
INF-001,observability-infra,platform,"Create central Docker Compose stack for collector, Prometheus, Loki, Tempo, and Grafana",todo,high,"SMK-INF-001","Pilot central node only"
INF-002,observability-infra,collector,"Create local collector configuration for OTLP ingest and Docker json-file log ingestion",todo,high,"SMK-INF-001","Include batching, resource enrichment, and forwarding"
INF-003,observability-infra,collector,"Create central collector configuration for routing logs, traces, and metrics",todo,high,"SMK-INF-002","Expose Prometheus scrape endpoint from central collector"
INF-004,observability-infra,prometheus,"Create Prometheus scrape config and baseline alert rules",todo,high,"SMK-INF-003","Include critical alerts only in phase one"
INF-005,observability-infra,grafana,"Create Grafana datasource provisioning for Prometheus, Loki, and Tempo",todo,high,"SMK-INF-004","Support trace-to-log correlation"
INF-006,observability-infra,grafana,"Create Service Overview dashboard JSON",todo,high,"SMK-INF-004","Align with grafana-dashboard-spec.md"
INF-007,observability-infra,grafana,"Create Worker Overview dashboard JSON",todo,high,"SMK-INF-004","Align with grafana-dashboard-spec.md"
INF-008,observability-infra,grafana,"Create Observability Platform Health dashboard JSON",todo,high,"SMK-INF-004","Align with grafana-dashboard-spec.md"
INF-009,observability-infra,grafana,"Create Logs and Traces Drilldown dashboard JSON",todo,medium,"SMK-INF-004","Prefer Grafana links and saved views where direct panels are limited"
INF-010,observability-infra,docs,"Document generic Go Gin application integration contract for the platform",todo,medium,"SMK-DOC-001","Cover OTLP endpoint expectations, stdout logging, env vars, local collector contract, and Docker json-file dependency"
INF-011,observability-infra,ops,"Create deployment and validation runbook",todo,medium,"SMK-INF-005","Include smoke procedures for logs, traces, metrics, dashboards, alerts, and generic app integration"
INF-012,observability-infra,ops,"Validate central stack end to end in non-production environment",todo,high,"SMK-INF-005","Record telemetry ingestion and dashboard verification results"
ROL-001,cross-repo,pilot,"Integrate one Go Gin API service with go-observability and local collector",todo,high,"SMK-E2E-001","Verify request traces, logs, GORM traces where used, and metrics in Grafana"
ROL-002,cross-repo,pilot,"Integrate one Go worker service with go-observability and local collector",todo,high,"SMK-E2E-002","Verify job traces, logs, DB traces where used, and metrics in Grafana"
ROL-003,cross-repo,pilot,"Validate trace-to-log correlation for API and worker flows",todo,high,"SMK-E2E-003","Use trace_id pivot in Grafana"
ROL-004,cross-repo,pilot,"Validate critical alerts fire correctly in non-production",todo,medium,"SMK-INF-006","Test 5xx, latency, collector failure, and disk pressure scenarios as feasible"
ROL-005,cross-repo,release,"Prepare generic rollout checklist for additional Go services",todo,medium,"SMK-DOC-001","Convert pilot learnings into repeatable adoption steps for Go Gin applications"
SMK-GO-000,go-observability,smoke,"Smoke module scaffold sanity",done,high,"gofmt -w ./telemetry/doc.go ./logger/doc.go ./middleware/doc.go ./database/doc.go ./httpclient/doc.go ./worker/doc.go && go vet ./... && go test ./... && go test -race ./... && ~/go/bin/golangci-lint run","Pass criteria met: module resolves, baseline packages compile, race test passes, and lint is clean"
SMK-GO-001,go-observability,smoke,"Smoke config defaults and env contract",done,high,"go test ./... && go vet ./... && go test -race ./... && ~/go/bin/golangci-lint run","Pass criteria met: config defaults, env overrides, invalid fallback, and environment precedence verified under full quality gate"
SMK-GO-002,go-observability,smoke,"Smoke Gin + logging + outbound HTTP instrumentation",todo,high,"go test ./... -run TestGin|TestLogger|TestHTTPClient","Pass criteria: request span created, trace_id injected in logs, outbound child spans recorded"
SMK-GO-003,go-observability,smoke,"Smoke GORM instrumentation for queries and transactions",todo,high,"go test ./... -run TestGORM","Pass criteria: query and transaction spans created with context propagation"
SMK-GO-004,go-observability,smoke,"Smoke worker instrumentation",todo,high,"go test ./... -run TestWorker","Pass criteria: root job span created and worker metrics emitted"
SMK-GO-005,go-observability,smoke,"Strict Go quality gate",todo,high,"gofmt && go vet ./... && go test ./... && go test -race ./... && golangci-lint run","Pass criteria: all commands succeed with zero failures"
SMK-GO-006,go-observability,smoke,"Smoke init and shutdown lifecycle",todo,high,"go test ./... -run TestInit|TestShutdown","Pass criteria: providers initialize successfully and shutdown returns cleanly without leaks"
SMK-INF-001,observability-infra,smoke,"Smoke local collector ingest path",todo,high,"otelcol --config collector/local/*.yaml --dry-run; smoke-compose up local collector","Pass criteria: OTLP receive and Docker json-file ingest both operational"
SMK-INF-002,observability-infra,smoke,"Smoke central collector routing",todo,high,"otelcol --config collector/central/*.yaml --dry-run; send sample OTLP telemetry","Pass criteria: logs to Loki, traces to Tempo, metrics exposed for Prometheus scrape"
SMK-INF-003,observability-infra,smoke,"Smoke Prometheus scrape and rules",todo,high,"promtool check config prometheus/*.yml; promtool test rules prometheus/*.yml","Pass criteria: config and rule tests pass; scrape target healthy"
SMK-INF-004,observability-infra,smoke,"Smoke Grafana datasources and dashboards",todo,high,"Grafana API datasource health check + dashboard import test","Pass criteria: Prometheus, Loki, Tempo datasources healthy and 4 dashboards render data"
SMK-INF-005,observability-infra,smoke,"Smoke end-to-end infra telemetry path",todo,high,"runbook-driven smoke in non-prod","Pass criteria: sample app traffic appears in Grafana logs/traces/metrics within expected window"
SMK-INF-006,observability-infra,smoke,"Smoke critical alert pipeline",todo,medium,"simulate error rate/latency/collector failure/disk pressure","Pass criteria: each critical alert fires and recovery state clears correctly"
SMK-E2E-001,cross-repo,smoke,"Smoke API integration flow",todo,high,"trigger API request and validate Tempo/Loki/Prometheus + Grafana correlation","Pass criteria: one request shows trace, logs with trace_id, and request metrics"
SMK-E2E-002,cross-repo,smoke,"Smoke worker integration flow",todo,high,"trigger one worker job and validate Tempo/Loki/Prometheus + Grafana correlation","Pass criteria: one job shows root span, DB spans where used, logs with identifiers, and worker metrics"
SMK-E2E-003,cross-repo,smoke,"Smoke trace-to-log correlation",todo,high,"Grafana pivot from trace_id to Loki query","Pass criteria: trace->logs pivot resolves matching records for API and worker samples"
SMK-DOC-001,cross-repo,smoke,"Smoke docs/checklist consistency",todo,medium,"manual review: checklist vs gin guide vs app integration contract vs dashboard spec","Pass criteria: acceptance criteria, env vars, smoke gates, and status rules are aligned"
